n,convex_time,os_time
11901,0.09592843055725098,0.5097322463989258
12001,0.0970771312713623,0.5228583812713623
12101,0.09352970123291016,0.5402517318725586
12201,0.09473109245300293,0.5275497436523438
12301,0.10020971298217773,0.5267817974090576
12401,0.09923720359802246,0.5245833396911621
12501,0.09941887855529785,0.5901601314544678
12601,0.0987997055053711,0.5719006061553955
12701,0.10141420364379883,0.5850880146026611
12801,0.1030569076538086,0.5622546672821045
12901,0.10287666320800781,0.687359094619751
13001,0.07575345039367676,0.5558247566223145
13101,0.05865192413330078,0.3693046569824219
13201,0.06233954429626465,0.306598424911499
13301,0.10911417007446289,0.660783052444458
13401,0.10670685768127441,0.5812454223632812
13501,0.0559084415435791,0.35224103927612305
13601,0.06252670288085938,0.4679603576660156
13701,0.12157559394836426,0.629328727722168
13801,0.061898231506347656,0.37004852294921875
13901,0.11650347709655762,0.4713289737701416
14001,0.06658196449279785,0.5641629695892334
14101,0.1099245548248291,0.390427827835083
14201,0.06334853172302246,0.3754863739013672
14301,0.06187081336975098,0.3381502628326416
14401,0.12246346473693848,0.44533443450927734
14501,0.07191276550292969,0.31636881828308105
14601,0.06150984764099121,0.3255577087402344
14701,0.06551313400268555,0.4281282424926758
14801,0.06588053703308105,0.42371106147766113
14901,0.07139921188354492,0.3352365493774414
15001,0.09273767471313477,0.3328244686126709
15101,0.07556295394897461,0.34310269355773926
15201,0.06916427612304688,0.4506864547729492
15301,0.06623411178588867,0.5411350727081299
15401,0.0669863224029541,0.3624744415283203
15501,0.07355856895446777,0.41829919815063477
15601,0.08689689636230469,0.34438467025756836
15701,0.06716656684875488,0.3636021614074707
15801,0.06981849670410156,0.35187554359436035
15901,0.06697249412536621,0.34818029403686523
16001,0.1262221336364746,0.6444330215454102
16101,0.07734370231628418,0.36594438552856445
16201,0.09588193893432617,0.414736270904541
16301,0.08990168571472168,0.38544559478759766
16401,0.1303558349609375,0.7941937446594238
16501,0.1366252899169922,0.7255830764770508
16601,0.12984514236450195,0.7060551643371582
16701,0.14288091659545898,0.5564625263214111
16801,0.1555619239807129,0.40985894203186035
16901,0.07313776016235352,0.4976999759674072
17001,0.08565831184387207,0.413057804107666
17101,0.08239603042602539,0.408735990524292
17201,0.07966494560241699,0.5682339668273926
17301,0.07603001594543457,0.39157629013061523
17401,0.08961749076843262,0.5746703147888184
17501,0.08003401756286621,0.40665245056152344
17601,0.15093708038330078,0.5616719722747803
17701,0.0924220085144043,0.43658447265625
17801,0.11829209327697754,0.4287223815917969
17901,0.0786597728729248,0.5937373638153076
18001,0.0790245532989502,0.7027745246887207
18101,0.09980058670043945,0.7882797718048096
18201,0.07970881462097168,0.40082645416259766
18301,0.07900452613830566,0.6081860065460205
18401,0.08124995231628418,0.49212074279785156
18501,0.08759403228759766,0.41490769386291504
18601,0.1482713222503662,0.8300509452819824
18701,0.08225035667419434,0.4315361976623535
18801,0.1485738754272461,0.8401548862457275
18901,0.0919342041015625,0.4277777671813965
19001,0.1619434356689453,0.9636614322662354
19101,0.1632707118988037,0.8275015354156494
19201,0.09501004219055176,0.7211995124816895
19301,0.08384323120117188,0.45180296897888184
19401,0.08658838272094727,0.7191150188446045
19501,0.08616852760314941,0.47954416275024414
19601,0.09464812278747559,0.6138086318969727
19701,0.15924835205078125,0.5757994651794434
19801,0.09623050689697266,0.4419829845428467
19901,0.17389535903930664,0.806882381439209
