n,convex_time,os_time
13001,0.4444711208343506,0.6036849021911621
13101,0.47957634925842285,3.920240640640259
13201,0.8295023441314697,0.926332950592041
13301,0.8357064723968506,4.531583309173584
13401,0.868354320526123,1.6624677181243896
13501,0.7777068614959717,2.1008594036102295
13601,0.809556245803833,1.0828351974487305
13701,0.9131135940551758,0.793410062789917
13801,0.8418943881988525,4.576773405075073
13901,0.8219351768493652,0.7728271484375
14001,0.9231994152069092,0.8978800773620605
14101,0.8982408046722412,3.9848551750183105
14201,0.7647194862365723,3.9708163738250732
14301,0.7505097389221191,0.774010181427002
14401,0.7701191902160645,0.9643344879150391
14501,0.9743175506591797,0.8670592308044434
14601,0.9736742973327637,0.8221077919006348
14701,0.8483784198760986,2.0739550590515137
14801,0.7734718322753906,5.360383749008179
14901,0.7903497219085693,4.904434442520142
15001,0.8943440914154053,0.7966639995574951
15101,0.8170585632324219,3.3363687992095947
15201,0.9198291301727295,0.7440106868743896
15301,0.9874980449676514,4.709158658981323
15401,0.7992208003997803,1.1314585208892822
15501,0.8260407447814941,0.6677961349487305
15601,0.8067276477813721,4.529374599456787
15701,0.8253774642944336,0.9439656734466553
15801,0.5563788414001465,0.7117838859558105
15901,0.5791366100311279,1.0309154987335205
16001,0.5147995948791504,0.4960520267486572
16101,0.8551220893859863,5.14841890335083
16201,0.8481414318084717,0.7122759819030762
16301,0.5359349250793457,0.533048152923584
16401,0.5337569713592529,4.003676652908325
16501,0.5964922904968262,0.4164855480194092
16601,0.5457708835601807,0.5280890464782715
16701,0.636589527130127,0.5344977378845215
16801,0.5635430812835693,0.6429951190948486
16901,0.6103649139404297,4.584012985229492
17001,0.5460999011993408,4.479924440383911
17101,0.5640532970428467,2.2108020782470703
17201,0.5611305236816406,0.5340766906738281
17301,0.5669727325439453,4.476897954940796
17401,0.5517542362213135,2.5889735221862793
17501,0.524003267288208,3.438267469406128
17601,0.5598220825195312,0.4124276638031006
17701,0.5484292507171631,2.915231943130493
17801,0.5667831897735596,0.5096166133880615
17901,0.54803466796875,0.5530071258544922
18001,0.5705182552337646,3.8305671215057373
18101,0.5518476963043213,3.8431789875030518
18201,0.5849688053131104,4.621625185012817
18301,0.5748691558837891,4.109833478927612
18401,0.5720508098602295,4.895721435546875
18501,0.5564579963684082,4.464862823486328
18601,0.5881860256195068,1.8660783767700195
18701,0.5621144771575928,4.687453746795654
18801,0.5529706478118896,4.20542049407959
18901,0.5798172950744629,0.49953222274780273
19001,0.5803499221801758,1.3703536987304688
19101,0.5689406394958496,0.5503871440887451
19201,0.5899279117584229,0.5317060947418213
19301,0.5672860145568848,0.5498766899108887
19401,0.5688424110412598,3.7894091606140137
19501,0.6061913967132568,0.5039093494415283
19601,0.605025053024292,0.555835485458374
19701,0.5844476222991943,4.637310981750488
19801,0.6012349128723145,2.812953233718872
19901,0.5869572162628174,0.8734142780303955
